comercio;giro_comercio;id
AMAZON;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);1
RAPPI;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;2
CFE;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;3
OXXO;TIENDAS DE CONVENIENCIA| MINISUPER;4
FARMACIAS DEL AHORRO;DROGUERIAS| (FARMACIAS);5
7 ELEVEN;TIENDAS DE CONVENIENCIA| MINISUPER;6
SORIANA;AUTOSERVICIOS Y SUPERMERCADOS;7
RAPPI;TRASLADOS - FLETES| (SERVICIOS DE MENSAJERIA);8
HEB;AUTOSERVICIOS Y SUPERMERCADOS;9
RAPPI;LIMOSINAS| (TAXIS);10
LIVERPOOL;TIENDA DEPARTAMENTAL;11
SPOTIFY;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);12
RAPPI;AGREGADOR;13
SUPERCENTER;AUTOSERVICIOS Y SUPERMERCADOS;14
COSTCO;CLUBES DE MAYORISTA;15
OXXO GAS;ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR;16
UBER;LIMOSINAS| (TAXIS);17
STARBUCKS;COMIDA RAPIDA;18
UBER EATS;RESTAURANTES;19
RAPPI;COMIDA RAPIDA;20
SERV AGUA DREN;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;21
UBER EATS;TRASLADOS - FLETES| (SERVICIOS DE MENSAJERIA);22
AMAZON;MERCADO DIRECTO - VENTAS POR CATALOGO;23
AMAZON;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;24
UNDOSTRES;AGREGADOR;25
MERCADO PAGO;MERCADO DIRECTO - VENTAS POR CATALOGO;26
RAPPIPRO;COMIDA RAPIDA;27
WALMART;AUTOSERVICIOS Y SUPERMERCADOS;28
TELCEL;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;29
MERCADO PAGO;MERCADEO DIRECTO - NO CLASIFICADO;30
TELCEL;COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE;31
TELMEX;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;32
UBER;AGREGADOR;33
HEB;4121;34
UBER EATS;AGREGADOR;35
AMAZON PRIME;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;36
CRUNCHYROLL;AGREGADOR;37
FARMACIAS GUADALAJARA;DROGUERIAS| (FARMACIAS);38
IZZI;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;39
CRUNCHYROLL;SERVICIOS PUBLICITARIOS;40
CINEPOLIS;CINES| TEATROS;41
DISNEY PLUS;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;42
SPOTIFY;AGREGADOR;43
BAIT;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);44
