comercio,giro_comercio,fecha_predicha,dias_desde_hoy,monto_esperado,probabilidad,frecuencia_historica,periodicidad_dias,regularidad,dia_semana_comun,dia_mes_comun
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-05-27,1,14.97,0.571,14,22.1,Alta,5,17
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-05-27,1,23.88,0.472,13,4.8,Alta,1,11
SAMS CLUB,CLUBES DE MAYORISTA,2025-05-27,1,42.83,0.085,8,8.9,Baja,4,19
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-05-29,3,22.99,0.757,41,9.3,Baja,2,9
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-01,6,24.01,0.472,13,4.8,Alta,1,11
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-04,9,18.08,0.585,21,18.1,Baja,5,1
HEB,AUTOSERVICIOS Y SUPERMERCADOS,2025-06-04,9,29.07,0.524,17,18.4,Media,0,2
SAMS CLUB,CLUBES DE MAYORISTA,2025-06-04,9,58.78,0.085,8,8.9,Baja,4,19
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-06,11,15.07,0.829,30,13.4,Alta,1,1
MERCADO PAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-06,11,39.21,0.53,10,39.1,Media,0,6
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-06,11,23.9,0.472,13,4.8,Alta,1,11
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-07,12,12.28,0.757,41,9.3,Baja,2,9
TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,2025-06-09,14,15.79,0.729,20,18.9,Alta,3,10
SPOTIFY,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-10,15,29.71,0.718,14,28.1,Alta,1,22
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-11,16,24.09,0.472,13,4.8,Alta,1,11
OXXO GAS,ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR,2025-06-12,17,33.84,0.502,10,27.6,Alta,2,17
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-12,17,30.84,0.448,21,17.9,Baja,6,3
MELIMAS,AGREGADOR,2025-06-13,18,25.67,0.548,9,29.9,Alta,3,5
SAMS CLUB,CLUBES DE MAYORISTA,2025-06-13,18,75.76,0.085,8,8.9,Baja,4,19
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-15,20,24.71,0.472,13,4.8,Alta,1,11
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-17,22,9.12,0.757,41,9.3,Baja,2,9
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-18,23,14.96,0.571,14,22.1,Alta,5,17
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-19,24,15.78,0.829,30,13.4,Alta,1,1
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-20,25,23.97,0.472,13,4.8,Alta,1,11
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-22,27,7.33,0.585,21,18.1,Baja,5,1
HEB,AUTOSERVICIOS Y SUPERMERCADOS,2025-06-22,27,41.15,0.524,17,18.4,Media,0,2
SAMS CLUB,CLUBES DE MAYORISTA,2025-06-22,27,49.89,0.085,8,8.9,Baja,4,19
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-25,30,23.79,0.472,13,4.8,Alta,1,11
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-26,31,10.54,0.757,41,9.3,Baja,2,9
TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,2025-06-28,33,16.06,0.729,20,18.9,Alta,3,10
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-30,35,30.56,0.472,13,4.8,Alta,1,11
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-30,35,53.1,0.448,21,17.9,Baja,6,3
SAMS CLUB,CLUBES DE MAYORISTA,2025-07-01,36,94.45,0.085,8,8.9,Baja,4,19
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-03,38,14.83,0.829,30,13.4,Alta,1,1
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-05,40,9.08,0.757,41,9.3,Baja,2,9
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-07-05,40,23.72,0.472,13,4.8,Alta,1,11
SPOTIFY,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-08,43,30.41,0.718,14,28.1,Alta,1,22
OXXO GAS,ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR,2025-07-09,44,30.8,0.502,10,27.6,Alta,2,17
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-10,45,7.47,0.585,21,18.1,Baja,5,1
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-10,45,16.17,0.571,14,22.1,Alta,5,17
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-07-10,45,23.9,0.472,13,4.8,Alta,1,11
SAMS CLUB,CLUBES DE MAYORISTA,2025-07-10,45,54.3,0.085,8,8.9,Baja,4,19
HEB,AUTOSERVICIOS Y SUPERMERCADOS,2025-07-11,46,41.46,0.524,17,18.4,Media,0,2
MELIMAS,AGREGADOR,2025-07-13,48,31.57,0.548,9,29.9,Alta,3,5
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-14,49,8.73,0.757,41,9.3,Baja,2,9
MERCADO PAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-15,50,60.17,0.53,10,39.1,Media,0,6
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-16,51,14.15,0.829,30,13.4,Alta,1,1
TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,2025-07-17,52,15.88,0.729,20,18.9,Alta,3,10
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-18,53,35.2,0.448,21,17.9,Baja,6,3
SAMS CLUB,CLUBES DE MAYORISTA,2025-07-19,54,60.38,0.085,8,8.9,Baja,4,19
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-24,59,12.4,0.757,41,9.3,Baja,2,9
