comercio,giro_comercio,fecha_predicha,dias_desde_hoy,monto_esperado,probabilidad,frecuencia_historica,periodicidad_dias,regularidad,dia_semana_comun,dia_mes_comun
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-05-27,2,14.97,0.571,14,22.1,Alta,5,17
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-05-27,2,23.88,0.472,13,4.8,Alta,1,11
SAMS CLUB,CLUBES DE MAYORISTA,2025-05-27,2,42.83,0.085,8,8.9,Baja,4,19
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-05-29,4,22.99,0.757,41,9.3,Baja,2,9
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-01,7,24.01,0.472,13,4.8,Alta,1,11
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-04,10,18.08,0.585,21,18.1,Baja,5,1
HEB,AUTOSERVICIOS Y SUPERMERCADOS,2025-06-04,10,29.07,0.524,17,18.4,Media,0,2
SAMS CLUB,CLUBES DE MAYORISTA,2025-06-04,10,58.78,0.085,8,8.9,Baja,4,19
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-06,12,15.07,0.829,30,13.4,Alta,1,1
MERCADO PAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-06,12,39.21,0.53,10,39.1,Media,0,6
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-06,12,23.9,0.472,13,4.8,Alta,1,11
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-07,13,12.28,0.757,41,9.3,Baja,2,9
TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,2025-06-09,15,15.79,0.729,20,18.9,Alta,3,10
SPOTIFY,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-10,16,29.71,0.718,14,28.1,Alta,1,22
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-11,17,24.09,0.472,13,4.8,Alta,1,11
OXXO GAS,ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR,2025-06-12,18,33.84,0.502,10,27.6,Alta,2,17
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-12,18,30.84,0.448,21,17.9,Baja,6,3
MELIMAS,AGREGADOR,2025-06-13,19,25.67,0.548,9,29.9,Alta,3,5
SAMS CLUB,CLUBES DE MAYORISTA,2025-06-13,19,75.76,0.085,8,8.9,Baja,4,19
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-15,21,24.71,0.472,13,4.8,Alta,1,11
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-17,23,9.12,0.757,41,9.3,Baja,2,9
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-18,24,14.96,0.571,14,22.1,Alta,5,17
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-19,25,15.78,0.829,30,13.4,Alta,1,1
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-20,26,23.97,0.472,13,4.8,Alta,1,11
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-22,28,7.33,0.585,21,18.1,Baja,5,1
