comercio,giro_comercio,fecha_predicha,dias_desde_hoy,monto_esperado,probabilidad,frecuencia_historica,periodicidad_dias,regularidad,dia_semana_comun,dia_mes_comun
IZZI,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-05-27,2,51.43,0.982,16,24.3,Alta,4,2
COSTCO,CLUBES DE MAYORISTA,2025-05-28,3,175.47,0.806,15,22.5,Media,1,15
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-05-28,3,97.16,0.708,11,36.5,Media,5,3
TEMU,AGREGADOR,2025-05-28,3,129.69,0.662,14,14.4,Media,2,21
SMART,AUTOSERVICIOS Y SUPERMERCADOS,2025-05-30,5,72.52,0.633,9,29.5,Alta,5,31
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-02,8,64.83,0.898,13,30.0,Alta,2,14
TEMU,AGREGADOR,2025-06-12,18,82.46,0.662,14,14.4,Media,2,21
COSTCO,CLUBES DE MAYORISTA,2025-06-19,25,165.54,0.806,15,22.5,Media,1,15
IZZI,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-20,26,41.01,0.982,16,24.3,Alta,4,2
SPOTIFY,AGREGADOR,2025-06-21,27,24.89,0.925,13,30.4,Alta,0,21
TEMU,AGREGADOR,2025-06-26,32,77.48,0.662,14,14.4,Media,2,21
SMART,AUTOSERVICIOS Y SUPERMERCADOS,2025-06-28,34,79.38,0.633,9,29.5,Alta,5,31
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-07-02,38,63.68,0.898,13,30.0,Alta,2,14
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-03,39,57.1,0.708,11,36.5,Media,5,3
TEMU,AGREGADOR,2025-07-10,46,88.94,0.662,14,14.4,Media,2,21
COSTCO,CLUBES DE MAYORISTA,2025-07-12,48,176.18,0.806,15,22.5,Media,1,15
IZZI,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-07-14,50,51.27,0.982,16,24.3,Alta,4,2
SPOTIFY,AGREGADOR,2025-07-21,57,25.8,0.925,13,30.4,Alta,0,21
