comercio,giro_comercio,fecha_predicha,dias_desde_hoy,monto_esperado,probabilidad,frecuencia_historica,periodicidad_dias,regularidad,dia_semana_comun,dia_mes_comun
APLAZ,AGREGADOR,2025-05-26,1,123.7,0.448,37,4.0,Baja,5,9
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-05-26,1,35.98,0.434,48,8.1,Baja,0,8
ALLIANZ MEXICO,ASEGURADORAS - VENTAS DE SEGUROS| POLIZAS,2025-05-27,2,269.3,0.765,29,13.8,Alta,1,2
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-05-27,2,37.55,0.599,48,8.1,Baja,0,27
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-05-27,2,85.17,0.473,33,7.3,Baja,2,15
SMARTFIT,CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE,2025-05-27,2,66.41,0.445,11,12.7,Alta,4,10
KUESKI PAY,AUTOFINANCIAMIENTOS - SERVICIOS FINANCIEROS,2025-05-27,2,181.82,0.099,12,15.2,Baja,4,4
UBER,AGREGADOR,2025-05-28,3,18.92,0.46,36,4.1,Media,0,7
DIDI RIDES,LIMOSINAS| (TAXIS),2025-05-30,5,13.48,0.901,68,5.6,Media,2,10
APLAZ,AGREGADOR,2025-05-30,5,130.92,0.448,37,4.0,Baja,5,9
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-05-31,6,143.48,0.699,51,6.9,Media,6,9
DIDI RIDES,AGREGADOR,2025-05-31,6,66.25,0.389,18,7.2,Media,1,10
UBER,AGREGADOR,2025-06-01,7,11.16,0.46,36,4.1,Media,0,7
OXXO,COMIDA RAPIDA,2025-06-01,7,48.63,0.354,14,8.5,Media,0,6
APLAZ,AGREGADOR,2025-06-03,9,125.33,0.448,37,4.0,Baja,5,9
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-03,9,49.0,0.434,48,8.1,Baja,0,8
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-06-04,10,106.9,0.473,33,7.3,Baja,2,15
DIDI RIDES,LIMOSINAS| (TAXIS),2025-06-05,11,15.92,0.901,68,5.6,Media,2,10
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-05,11,26.28,0.599,48,8.1,Baja,0,27
UBER,AGREGADOR,2025-06-06,12,8.8,0.46,36,4.1,Media,0,7
KUESKI PAY,ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO,2025-06-06,12,183.27,0.322,15,11.6,Baja,4,31
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-07,13,40.73,0.699,51,6.9,Media,6,9
APLAZ,AGREGADOR,2025-06-07,13,123.59,0.448,37,4.0,Baja,5,9
DIDI RIDES,AGREGADOR,2025-06-07,13,6.41,0.389,18,7.2,Media,1,10
SMARTFIT,CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE,2025-06-09,15,64.92,0.445,11,12.7,Alta,4,10
DIDI RIDES,LIMOSINAS| (TAXIS),2025-06-10,16,14.62,0.901,68,5.6,Media,2,10
ALLIANZ MEXICO,ASEGURADORAS - VENTAS DE SEGUROS| POLIZAS,2025-06-10,16,287.07,0.765,29,13.8,Alta,1,2
UBER,AGREGADOR,2025-06-10,16,8.93,0.46,36,4.1,Media,0,7
OXXO,COMIDA RAPIDA,2025-06-10,16,48.31,0.354,14,8.5,Media,0,6
OXXO GAS,ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR,2025-06-11,17,43.38,0.489,12,26.6,Media,3,15
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-06-11,17,112.08,0.473,33,7.3,Baja,2,15
